Country Name,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov't Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Rwanda,30.0,49.71568627450981,80.245975,77.58816853,63.8,82.72528466754956,76.42158507558896,76.035,65.0,40.0,6.3575,30.0,30.0,13.3,27.31275,10.591750000000001,7.12375,4.491,161.0725,27.22075
Saudi Arabia,40.0,45.666666666666664,99.68452500000001,58.49124192,67.8,71.55224176226595,68.01175887497142,76.375,40.0,50.0,4.325,2.5,2.5,4.275,37.152,29.481749999999998,5.24325,3.5060000000000002,11473.0,3.85
Senegal,40.0,35.63235294117647,68.31,75.4269937925,51.975,41.163587791335594,82.32789951921036,73.28999999999999,58.75,40.0,8.355,45.0,27.5,18.85,28.619500000000002,13.80525,3.6870000000000003,1.1985,316.1686358065277,45.556
Serbia,43.75,37.509803921568626,83.5024,37.53185325,59.375,69.27016245051267,70.47728906601947,77.725,71.25,50.0,6.125,15.0,13.75,35.05,45.5715,7.335,0.1670000000000001,7.082,1683.2996624751584,62.4255
Seychelles,50.0,51.36764705882353,78.37715,60.02917268,67.625,64.4927542904013,76.58942948217339,48.55,50.0,30.0,20.725,15.0,33.0,29.05,36.477000000000004,0.0925,3.54725,3.8505000000000003,166.045390830125,73.03675
Sierra Leone,11.25,27.642156862745097,80.844375,85.4144133125,52.525,34.93817743067409,69.50910646995497,70.01,55.0,20.0,10.92,30.0,30.0,10.75,21.57275,6.123,11.866,12.59225,451.96609133997504,43.9725
Singapore,90.0,88.4656862745098,91.1764,91.59870932,96.45,93.88414593282917,82.23757430417078,90.0,82.5,80.0,0.0,20.0,17.0,13.925,16.683,5.3870000000000005,3.30025,3.30175,62987.36242418931,103.581
Slovenia,60.0,58.75,60.3244,11.220199999999998,82.325,50.96885331266182,81.8814366700885,87.655,70.0,50.0,1.1725,47.75,17.0,37.18425,55.25727559088277,2.049,-0.2457499999999999,1.571,507.4319402673592,63.955
Solomon Islands,30.0,25.5,62.520975,19.5807510925,67.0,66.60673232352379,75.16008793926896,72.9,13.75,30.0,8.55,40.0,30.0,35.194382499999996,51.712,0.5605,4.79125,5.73675,86.17949902054076,17.21925
South Africa,50.0,42.15196078431373,69.701775,69.1089578125,72.975,57.57226415589919,75.15802435597978,76.495,48.75,60.0,4.265000000000001,40.0,28.0,25.4,32.089,52.193,2.278,5.618,6070.0239259342,43.036249999999995
Spain,70.0,60.8921568627451,54.8186,40.65219999999999,77.775,52.70038472838158,81.44727104944774,87.655,82.5,70.0,1.1725,50.75,30.0,32.1945,44.47432845238333,46.3475,-0.135,1.70875,29824.24374694535,86.03325
Suriname,36.25,33.73039215686275,69.82249999999999,73.72413543249999,43.25,79.3805011625338,73.59786497028091,66.775,28.75,30.0,11.625,38.0,36.0,16.3,29.551,0.545,4.13975,6.99975,-99.52500000000002,26.08025
Swaziland,40.0,36.14705882352941,74.095275,63.916973170000006,62.325,69.2872763250404,73.84180799641268,79.005,56.25,40.0,5.51,33.0,28.75,25.6,34.5145,1.11375,0.81825,6.6135,66.02384510518581,17.9055
Sweden,90.0,90.31372549019608,42.466875,19.114199999999993,90.475,53.49821084150615,84.28947905834093,87.655,88.75,80.0,1.1725,57.0,23.075,44.3365,51.91209690417644,9.593,2.21325,0.507,10996.919153444844,39.5905
Switzerland,90.0,86.7843137254902,69.54875,65.23169999999999,77.875,80.67396797950784,86.36930869371051,90.0,83.75,80.0,0.0,40.75,24.0,28.394750000000002,34.038845132057055,7.9955,1.69675,-0.1745,5019.675385487491,48.316
Tajikistan,20.0,21.84313725490196,92.1941075951,78.7465595325,61.65,48.67292929595832,67.92261584669727,73.65,23.75,35.0,5.675000000000001,13.0,15.0,19.594585,26.59475,8.06175,7.25,7.32925,167.884525,31.298
Tanzania,28.75,30.70098039215686,79.67240000000001,80.9668708125,47.025,61.74225688315302,68.79527898819101,72.62,58.75,50.0,8.6775,30.0,30.0,15.25,24.997999999999998,45.81525,6.93225,9.25825,1703.850372733125,40.006249999999994
Thailand,42.5,35.14705882352941,80.2964,82.7200548125,73.35,65.11952050999716,69.42950283449775,75.8,45.0,65.0,5.225,36.0,20.75,15.468047499999999,23.9735,66.33475,2.52075,2.7255000000000003,10922.68915590963,44.59425
Togo,30.0,26.46078431372549,69.13215,80.62979552,46.625,44.160676850390914,79.41585000248816,64.625,42.5,30.0,11.45,45.0,27.75,16.95,25.384999999999998,6.81475,4.996,2.0695,149.10700155765952,43.865
Trinidad and Tobago,50.0,35.509803921568626,82.019375,63.6209367325,62.325,75.63096003667003,72.04844355760099,76.425,60.0,52.5,6.775,25.0,25.0,22.525,34.78525,1.3367499999999999,0.4525,6.6525,1809.175,35.08425
Tunisia,40.0,39.53921568627451,74.274475,67.91723872,81.5,68.93917316772767,76.01952880559116,60.825,35.0,30.0,14.6,35.0,30.0,21.075,32.6325,10.83725,1.9452500000000001,5.02525,1304.2518661309653,44.68075
Turkey,46.25,45.240196078431374,76.45,60.4124216325,65.55,50.40181972781972,72.24533737633972,84.68,71.25,60.0,2.66,35.0,20.0,26.990000000000002,36.276250000000005,75.5555,4.566750000000001,7.933000000000001,13326.75,36.2895
Turkmenistan,5.0,15.852941176470589,94.6229,92.6105816925,30.0,25.0,67.53493036391893,79.6,0.0,10.0,1.45,10.0,8.0,19.275,15.668,5.66,11.534749999999999,5.8165,3142.375,17.1505
Uganda,27.5,24.94607843137255,76.5525,88.0268717925,44.275,86.62396797950782,76.16050956430186,74.595,58.75,42.5,7.7025,35.0,30.0,13.8,19.83575,36.42825,5.045,7.689,1201.4622944629073,32.012249999999995
Ukraine,26.25,23.985294117647058,78.64,31.3863265325,55.875,48.942493975496795,73.80897398494866,85.545,18.75,30.0,2.2275,17.75,19.0,38.15,47.81,44.78875,-0.3560000000000001,5.0905000000000005,4805.25,46.54
United Arab Emirates,55.0,68.3529411764706,98.50697500000001,82.5319908125,75.675,81.2620084262227,83.39276336859129,82.58500000000001,38.75,52.5,3.7075,0.0,0.0,10.7,23.983,7.311,4.29175,1.2485,9458.687722793398,14.724499999999999
United Kingdom,90.0,77.1078431372549,60.359375,31.628154922879677,90.8,73.0267237204024,74.18313506341805,87.655,90.0,80.0,1.1725,47.5,22.25,34.655,47.711927055477936,63.6215,1.2825,2.828,56410.50821260463,88.111
United States,81.25,72.50980392156863,66.717075,50.5958,88.3,95.64127303439385,76.00138595585224,86.81,70.0,70.0,1.595,38.45,35.0,24.919,40.566931903232636,315.38750000000005,2.0532500000000002,2.073,168620.5,104.68725
Uruguay,70.0,71.66176470588235,78.96289999999999,67.26168627999999,73.95,66.38894656554885,71.8821836067812,81.95,78.75,30.0,4.0375,28.75,25.0,25.075,33.027249999999995,3.3865,4.25525,8.41075,2612.96918797065,57.5225
